x,y,g,id,date
-87.669528,41.896025,4.2265625,RRoq0FdIp6j81NcovhjjBw,2018-06
-87.668586,41.896043,7.4065625,watHFjKmMDd6M0MhbiWLhQ,2018-06
-87.667673,41.896063,4.08583333333,rf45DwsRnO6N-MLXSFZSkA,2018-06
-87.624270,41.879575,3.939375,E41FIHcI2iKBJmCQDteZAQ,2018-06
-87.624481,41.882112,7.69645833333,hxvkSnhSiAgm9e_7sN5QGQ,2018-06
-87.614644,41.853084,16.7538541667,Ht3aUkRvEjRM5WDzcAREPQ,2018-06
-87.614558,41.852471,20.4459375,qf822GPqosWs8UuiCf9KAg,2018-06
-87.614299,41.851839,3.05916666667,poZAJptD4hl80MObxSdiNg,2018-06
-87.613996,41.851155,11.1664583333,7-dntzAAokPEzpdlAUQkeQ,2018-06
-87.613704,41.850518,9.0228125,pr0vQxO2kyPoCqBIFZyLBw,2018-06
-87.627811,41.882059,3.43291666667,BLNvFz_YHgS56UzbOVE_Wg,2018-07
-87.635260,41.879351,2.555625,ter6gYPUwYrEFwGpdTymWg,2018-07
-87.636166,41.879350,0.614166666667,j-gZITBB3w3v4Xo-w-r_0A,2018-07
-87.616333,41.847975,0.626875,-yoQ0hhSB3OHmNmYMIslKw,2018-06
-87.615332,41.848021,1.73,3HQT6tOPUlnp4B1PBccP0g,2018-06
-87.614483,41.848024,1.1490625,Jiyqf6WEKLqMJF9Kt7EV-g,2018-06
-87.613631,41.848086,1.49739583333,IGsJOYez8CDj53RSDpWrXg,2018-06
-87.612801,41.848429,5.46072916667,CJPokxJbzlnjyJVJj84w1A,2018-06
-87.612344,41.848935,6.9834375,nGVnYx_s3nbAdt7VpdIm1g,2018-06
-87.612159,41.849558,9.43177083333,4FCT90MZEIXiqgmEhJ74wA,2018-06
-87.628617,41.903088,12.8986458333,8TvX3tPDH_8wd7XRhEW-7A,2018-07
-87.628340,41.902358,10.4552083333,TJslw-P0PZYIffMnyVfVwQ,2018-06
-87.628350,41.901637,14.0297916667,Qx5QQ3wLsxvXKq8MGX-v0A,2018-06
-87.626191,41.882101,1.07541666667,wt0rzkgMGQxGgeviArwNyA,2018-07
-87.626169,41.881448,3.76833333333,xRz5yFpMTT78Su6X7Gs-BQ,2018-07
-87.626146,41.880746,2.2,xH9fm99b6nxhK9TsyCdkCw,2018-07
-87.626135,41.880076,2.7078125,vl8TU08dwGSyoazO319ECw,2018-07
-87.626122,41.879395,5.905,ePRC6IoYxcQbWEyQ5ZXoDg,2018-07
-87.626103,41.878704,4.09552083333,6P-_LmXrhxMRvAAjCGdtwg,2018-07
-87.626086,41.878108,4.885,ELXzfejvbs0i8IlHkFB_1A,2018-07
-87.626062,41.877419,7.74979166667,tlrZ3Z3dpS5XeqdEbrZhEQ,2018-07
-87.626037,41.876737,4.04822916667,EKkdd57RtqxXaJEnqPENzQ,2018-07
-87.626019,41.876007,1.62708333333,IC6cdAKfKPT5UqLXE3vThg,2018-07
-87.626008,41.875415,3.46989583333,a8lsRXEjhj3Wf5IzQYrcBA,2018-07
-87.625999,41.874727,15.5058333333,IVuB0zCbWngo34a8S9jVJg,2018-07
-87.885505,41.994980,8.08416666667,6HLvubBDKlD1ziVGtxMcFw,2017-08
-87.885227,41.978205,11.0538541667,BgLpicY1P8AtFuHFVKVxhQ,2015-07
-87.884554,41.978477,14.3085416667,krmK_eH0r7Y7m7P8EpEX3Q,2015-07
-87.883728,41.978823,13.3673958333,pIruvIXOPrbf6uUKEG79Kw,2015-07
-87.884644,41.998266,1.21635416667,3BaMFFXR9wX7_MLONrvffQ,2018-07
-87.884592,41.994887,1.23677083333,zrTqMSITU_gsXx1WjDeKxA,2018-07
-87.644580,41.954543,18.4159375,mRnuJasZQr5khch8td8o1w,2018-06
-87.644827,41.954635,1.87479166667,1hDByzQ9zEOLnZavipzQAg,2018-07
-87.632101,41.932330,23.8711458333,3Yjg48ua-UhAJeSsLNcYFQ,2018-06
-87.632111,41.931666,31.7509375,OesTC0rmNKtvk39k2ig2lw,2018-06
